province,team
Alberta,Calgary Flames
Alberta,Edmonton Oilers
Arizona,Arizona Coyotes
British Columbia,Vancouver Canucks
California,Anaheim Ducks
California,Los Angeles Kings
California,San Jose Sharks
Colorado,Colorado Avalanche
Florida,Florida Panthers
Florida,Tampa Bay Lightning
Illinois,Chicago Blackhawks
Manitoba,Winnipeg Jets
Massachusetts,Boston Bruins
Michigan,Detroit Red Wings
Minnesota,Minnesota Wild
Missouri,St. Louis Blues
Nevada,Vegas Golden Knights
New Jersey,New Jersey Devils
New York,Buffalo Sabres
New York,New York Islanders
New York,New York Rangers
North Carolina,Carolina Hurricanes
Ohio,Columbus Blue Jackets
Ontario,Ottawa Senators
Ontario,Toronto Maple Leafs
Pennsylvania,Philadelphia Flyers
Pennsylvania,Pittsburgh Penguins
Quebec,Montreal Canadiens
Tennessee,Nashville Predators
Texas,Dallas Stars
Washington D.C.,Washington Capitals
